source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
TX,86653981,ENTERPRISE HOLDINGS,U S Legal Support Inc,,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,394.8,2023,30QZGJ8BBuGJUe8uxdmw
TX,86653984,ENTERPRISE HOLDINGS,U S Legal Support Inc,,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,95.0,2023,4UQZGJ8BBuGJUe8uxdmw
TX,24937567,ENTERPRISE HOLDINGS,UNITED SVCS AUTOMOBILE ASSN,,,,00000,UNIDENTIFIED DEPOSIT,AC07,46.06,2014,WsT6F58Bqu6IKIxAdYJF
TX,57110040,Enterprise Holdings,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,495.83,2019,fzkJGJ8BBuGJUe8u2f59
TX,57110136,Enterprise Holdings,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,673.7,2019,xzkJGJ8BBuGJUe8u2f59
TX,57110271,Enterprise Holdings,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,362.0,2019,PzkJGJ8BBuGJUe8u2f99
TX,57110429,Enterprise Holdings,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,85.0,2019,vjkJGJ8BBuGJUe8u2f99
TX,57110470,Enterprise Holdings,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,125.0,2019,4jkJGJ8BBuGJUe8u2f99
TX,63403598,ENTERPRISE HOLDINGS,TEXAS FARM BUREAU CASUALTY INS CO,3060 W INTERSTATE 20 STE,GRAND PRAIRIE,TX,75052,INDIVIDUAL POLICY CLAIM PMT OR BENEFIT,IN01,112.26,2020,XaMNGJ8BdwRK0i0ybTUF
TX,70798130,ENTERPRISE HOLDINGS,XEROX CORPORATION,21503 SPRING PLAZA BLVD,HOUSTON,TX,77388,REFUND OR REBATE DUE,MS11,879.42,2021,ptIRGJ8BPFHwP-jRMv0I
TX,70894498,ENTERPRISE HOLDINGS,TYLER IRON & METAL LTD,,,,,PAYMENT FOR GOODS OR SERVICES,MS04,85.05,2021,TmERGJ8Bj6Q_lu2XOW5i
TX,86653979,ENTERPRISE HOLDINGS,U S Legal Support Inc,,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,90.0,2023,3kQZGJ8BBuGJUe8uxdmw
TX,24937442,ENTERPRISE HOLDINGS,UNITED SVCS AUTOMOBILE ASSN,,,,00000,UNIDENTIFIED DEPOSIT,AC07,46.81,2014,DsT6F58Bqu6IKIxAdYJF
TX,24937495,ENTERPRISE HOLDINGS,UNITED SVCS AUTOMOBILE ASSN,,,,00000,UNIDENTIFIED DEPOSIT,AC07,523.12,2014,IsT6F58Bqu6IKIxAdYJF
TX,24937519,ENTERPRISE HOLDINGS,UNITED SVCS AUTOMOBILE ASSN,,,,00000,UNIDENTIFIED DEPOSIT,AC07,219.81,2014,NcT6F58Bqu6IKIxAdYJF
TX,24937552,ENTERPRISE HOLDINGS,UNITED SVCS AUTOMOBILE ASSN,,,,00000,UNIDENTIFIED DEPOSIT,AC07,77.96,2014,S8T6F58Bqu6IKIxAdYJF
TX,50680373,ENTERPRISE HOLDINGS,COLONIAL COUNTY MUTUAL,2425 E 8TH ST,ODESSA,TX,79761,GROUP POLICY CLAIM PMT OR BENEFIT,IN02,200.0,2018,cHYGGJ8BMOBo_ZuO_Byb
TX,57110226,Enterprise Holdings,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,150.0,2019,FzkJGJ8BBuGJUe8u2f99
TX,57110474,Enterprise Holdings,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,175.0,2019,5jkJGJ8BBuGJUe8u2f99
TX,57110485,Enterprise Holdings,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,150.0,2019,7zkJGJ8BBuGJUe8u2f99
TX,86653983,ENTERPRISE HOLDINGS,U S Legal Support Inc,,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,125.0,2023,4EQZGJ8BBuGJUe8uxdmw
TX,86653985,ENTERPRISE HOLDINGS,U S Legal Support Inc,,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,345.0,2023,4kQZGJ8BBuGJUe8uxdmw
