source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
NY,50832780,SYMMETRY HOLDINGS INC,DEPOSITORY TRUST CO,C/O KAREN NARWOLD,NEW YORK,NY,10036,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2012,TFaKFJ8BWDpOTxa9A2UK
NY,50521738,SYRACUSE PROPERTY HOLDINGS,TOWER INSURANCE CO OF NEW YORK,184 KENT AVENUE,BROOKLYN,NY,11211,OTHER AMTS DUE UNDER POLICY,IN07,,2012,d1-JFJ8BVoZSrHrZ6klT
NY,56067736,TANABE HOLDINGS INC,NINTENDO CO LTD,C O RUBY TANABE,TORONTO,ON,,"SHARES OF STOCK, STOCK OVER RECEIPTS, OTHER SHARE DISTRIBUTIONS RESULTING FROM OWNERSHIP",SC08,,2014,N_qLFJ8BdwRK0i0yKMPT
NY,47583257,TCJC HOLDINGS LLC,CITIBANK N A,DBA MOSS CHARLOTTE,NEW YORK,NY,10065,CHECKING ACCOUNTS,AC01,,2011,3_mJFJ8BdwRK0i0yJ7wP
NY,51412339,TELETECH HOLDINGS INC,STATE OF CONNECTICUT,ATTN ROBERT FERRICK,NIAGARA FALLS,NY,14303,VENDOR CHECKS,CK13,,2013,qpSKFJ8BRez0kkx5K7ue
NY,50896585,TFM HOLDINGS CORPORA,HSBC BANK USA NA,220 W 98TH ST APT 7C,NEW YORK,NY,10025,CHECKING ACCOUNTS,AC01,,2012,VN2KFJ8BMOBo_ZuOC7Mv
NY,45526040,TFM HOLDINGS LLC,NYS DEPT OF TAX & FINANCE,641 FOGG ST,NASHVILLE,TN,37203,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2011,51WIFJ8BWDpOTxa91G-X
NY,41538527,THE URSINE HOLDINGS,RIDGE CLEARING & OUTSOURCING SOLUTIONS INC,1501 BROADWAY STE 2004,NEW YORK,NY,10036,"SHARES OF STOCK, STOCK OVER RECEIPTS, OTHER SHARE DISTRIBUTIONS RESULTING FROM OWNERSHIP",SC08,,2010,iFuIFJ8B9dGTenPiKd6a
NY,52258128,THINKEQUITY HOLDINGS LLC,OFFICE OF THE STATE COMPTROLLER,"600 MONTGOMERY ST, 3RD FLOOR",SAN FRANCISCO,CA,94111,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2013,LLiKFJ8Bj6Q_lu2XX_yF
NY,12423013,THOMSON HOLDINGS INC / Additional Owners Exist,BALCO PENSION INVESTORS VI,3 CMC 5TH FL CHASE METRO TECH,BROOKLYN,,11245,"SHARES OF STOCK, STOCK OVER RECEIPTS, OTHER SHARE DISTRIBUTIONS RESULTING FROM OWNERSHIP",SC08,,2001,odiCFJ8BMOBo_ZuO7dk8
